"","Flow","WQFileNbr","Legal_Name","Common_Name","Location","Fac_City","Fac_Zip_Code","County","Region","Latitude","Longitude","SIC_Code","Facility_Type","Permit_Type","Permit_Description","EPA_Class","Category","Contact_Desc","Organization","Contact_FName","Contact_LName","Contact_Address","City","State","Zip","Phone_Nbr","municipality"
"130","< 1MGD",34136,"GOVERNMENT CAMP SANITARY DISTRICT","GOVERNMENT CAMP STP","OLD LOOP HWY","GOVERNMENT CAMP","97028","CLACKAMAS","NWR",45.3023,-121.7763,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Government Camp Sanitary District","Ken","Johannes","620 SW 5th Ave Ste 1100","Portland","OR","97204-1425","503-285-0595","yes"
"131","< 1MGD",100058,"HEBO JOINT WATER & SANITARY AUTHORITY","HEBO JWSA","OFF HWY 101 ON N. BANK OF THREE RIVERS","HEBO","97112","TILLAMOOK","NWR",45.2308,-123.8627,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Hebo Joint Water & Sanitary Authority","Vern","Ressler","PO Box 328","Hebo","OR","97122-0328","503-457-8473","yes"
"132","< 1MGD",38076,"HEPPNER, CITY OF","HEPPNER STP","710 NW RIVERSIDE AVE.","HEPPNER","97836","MORROW","ER",45.3649,-119.5636,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Heppner","Chad","Doherty","PO Box 756","Heppner","OR","97836-0756","541-676-5181","yes"
"133","< 1MGD",40494,"HUBBARD, CITY OF","HUBBARD STP","3607 SUNSET DRIVE","HUBBARD","97032","MARION","WR",45.1872,-122.8117,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Hubbard","Mike","Krebs","PO Box 380","Hubbard","OR","97032-0380","(503) 982-9429","yes"
"134","< 1MGD",43129,"JEFFERSON, CITY OF","JEFFERSON STP","700 N. Second Street","JEFFERSON","97352","MARION","WR",44.724,-123.0102,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Jefferson","Jeff","Buskirk","PO Box 83","Jefferson","OR","97352-0083","(541) 327-1135","yes"
"135","< 1MGD",48279,"LAFAYETTE, CITY OF","LAFAYETTE  STP","260 S MADISON","LAFAYETTE","97127","YAMHILL","WR",45.2432,-123.1121,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Lafayette","Ron L","Payne","PO Box 55","Lafayette","OR","97127-0055","(503) 864-3464","yes"
"136","< 1MGD",48568,"LAKESIDE, CITY OF","LAKESIDE STP","105 PARK AVENUE","LAKESIDE","97449","COOS","WR",43.5717,-124.1809,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Lakeside","Gary","Higgins","PO Box L","Lakeside","OR","97449-0809","(541) 759-4414","yes"
"137","< 1MGD",96110,"LAKEWOOD HOMEOWNERS, INC.","LAKEWOOD UTILITIES, LTD","13269 DAIQUIRI LAKE DR","AURORA","97002","MARION","WR",45.2037,-122.7888,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Lakewood Utilities, Ltd.","Nathan P","Dryden","500 N Grant St","Newberg","OR","97132-2303","503-956-7903","yes"
"138","< 1MGD",51180,"LONG CREEK, CITY OF","LONG CREEK STP","350 W. HARDISTY","LONG CREEK","97856","GRANT","ER",44.7554,-119.097,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Long Creek","Marsie","Watson","PO Box 489","Long Creek","OR","97856-0489","541-421-3601","yes"
"139","< 1MGD",51447,"LOWELL, CITY OF","LOWELL STP","240 S MOSS STREET","LOWELL","97452","LANE","WR",43.9152,-122.7827,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Lowell","Max","Baker","PO Box 490","Lowell","OR","97452-0490","(541) 937-2157","yes"
"140","< 1MGD",52830,"MAPLETON COMMERCIAL AREA OWNERS ASSOCIATION, INC.","MAPLETON STP","10758 HWY 126","MAPLETON","97453","LANE","WR",44.027,-123.8553,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Mapleton Commercial Area Owners Assn.",NA,NA,"87960 Riverview Ave","Mapleton","OR","97453-9609","(541) 999-7625","yes"
"141","< 1MGD",53633,"MAUPIN, CITY OF","MAUPIN STP","NORTH SECOND STREET","MAUPIN","97037","WASCO","ER",45.0742,-121.2282,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Maupin","NICK","SMITH","PO Box 308","Maupin","OR","97037-0308","541-395-2237","yes"
"142","< 1MGD",58650,"MOSIER, CITY OF","MOSIER STP","1505 Rock Creek Rd.","MOSIER","97040","WASCO","ER",45.66,-121.32,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Mosier","Richard","Wolf","PO Box 1022","The Dalles","OR","97058-9022","541-298-1779","yes"
"143","< 1MGD",58707,"MT. ANGEL, CITY OF","MT. ANGEL STP","12364 MT ANGEL GERVAIS HWY","MT ANGEL","97362","MARION","WR",45.074,-122.8208,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Mt Angel","John","Korecki","PO Box 960","Mount Angel","OR","97362-0960","(503) 845-6260","yes"
"144","< 1MGD",59742,"MYRTLE POINT, CITY OF","MYRTLE POINT STP","220 RIVER RD","MYRTLE POINT","97458","COOS","WR",43.0669,-124.1474,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Myrtle Point","Darin","Nicholson","424 5th St","Myrtle Point","OR","97458-1114","(541) 572-2626","yes"
"145","< 1MGD",60420,"NETARTS-OCEANSIDE SANITARY DISTRICT","NETARTS-OCEANSIDE STP","1755 Cape Meares Loop","Tillamook","97141","TILLAMOOK","NWR",45.4613,-123.9646,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Netarts-Oceanside Sanitary District","Daniel","Mello","1755 Cape Meares Loop","Tillamook","OR","97141-8360","(503) 842-8231","yes"
"146","< 1MGD",62855,"OAKLAND, CITY OF","OAKLAND STP","1/2 MI SW OF CITY CNTR,W SIDE OF STEARNS","OAKLAND","97462","DOUGLAS","WR",43.4189,-123.3064,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Oakland","John","Korecki","637 Locust St","Oakland","OR","97462-9836","541-580-7492","yes"
"147","< 1MGD",62886,"OAKRIDGE, CITY OF","OAKRIDGE STP","47299 LADUKE ROAD","OAKRIDGE","97463","LANE","WR",43.7416,-122.4916,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Oakridge","Clint","Whitney","PO Box 1410","Oakridge","OR","97463-1410","541-782-3636","yes"
"148","< 1MGD",63062,"ODELL SANITARY DISTRICT","ODELL STP","3700 DETHMAN RIDGE RD.","ODELL","97044","HOOD RIVER","ER",45.6422,-121.5436,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Odell Sanitary District","Chuck","Rapelje","3700 Dethman Ridge Rd","Hood River","OR","97031-9571","541-354-1138","yes"
"149","< 1MGD",66100,"PACIFIC CITY JOINT WATER-SANITARY AUTHORITY","PACIFIC CITY JWSA","34005 CAPE KIWANDA DR","PACIFIC CITY","97135","TILLAMOOK","NWR",45.2103,-123.9653,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Pacific City Jt Water-Sanitary Authority","Kirk","Medina","PO Box 520","Pacific City","OR","97135-0520","(503) 965-6636","yes"
"150","< 1MGD",67545,"PARKDALE SANITARY DISTRICT","PARKDALE STP","7200 DEE HIGHWAY","PARKDALE","97041","HOOD RIVER","ER",45.5239,-121.5989,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Parkdale Sanitary District","Patricio","Ramos","PO Box 194","Mount Hood Parkdale","OR","97041-0194","541-399-3721","yes"
"151","< 1MGD",70620,"PORT ORFORD, CITY OF","PORT ORFORD STP","913 - 12TH STREET","PORT ORFORD","97465","CURRY","WR",42.7475,-124.5048,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Port Orford","Rick","Rogerson","PO Box 310","Port Orford","OR","97465-0310","(541) 253-8003","yes"
"152","< 1MGD",71832,"POWERS, CITY OF","POWERS STP","285 E CEDAR ST","POWERS","97466","COOS","WR",42.8876,-124.0732,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Powers","Gary","Johnson","PO Box 250","Powers","OR","97466-0250","(541) 439-3331","yes"
"153","< 1MGD",90480,"RAINBOW ROCK SERVICE ASSOCIATION, INC.","RAINBOW ROCK STP","17744 HWY 101 NORTH","BROOKINGS","97415","CURRY","WR",42.0875,-124.3341,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Rainbow Rock Service Association, Inc.","Don","Bryant","17744 Highway 101 N Apt 100","Brookings","OR","97415-7142","(541) 469-6113","yes"
"154","< 1MGD",73412,"RAINIER, CITY OF","RAINIER STP","106 W. 6TH","RAINIER","97048","COLUMBIA","NWR",46.0913,-122.9433,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Rainier","Sue","Lawrence","PO Box 100","Rainier","OR","97048-0100","503-457-8473","yes"
"155","< 1MGD",74319,"REEDSPORT, CITY OF","REEDSPORT STP","183 W RAILROAD","REEDSPORT","97467","DOUGLAS","WR",43.7054,-124.0967,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Reedsport","Charles","Hurlocker","451 Winchester Ave","Reedsport","OR","97467-1521","(541) 271-4313","yes"
"156","< 1MGD",75227,"RIDDLE, CITY OF","RIDDLE STP","127 PARKSIDE STREET","RIDDLE","97469","DOUGLAS","WR",42.9508,-123.3567,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Riddle","Eric R","Quinn","PO Box 143","Riddle","OR","97469-0143","541-874-2905","yes"
"157","< 1MGD",75825,"ROCKAWAY BEACH, CITY OF","ROCKAWAY BEACH STP","410 S 3RD STREET","ROCKAWAY BEACH","97136","TILLAMOOK","NWR",45.6094,-123.9417,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Rockaway Beach","Luke","Shepard","PO Box 5","Rockaway Bch","OR","97136-0005","503-355-2982","yes"
"158","< 1MGD",76030,"ROGUE RIVER, CITY OF","ROGUE RIVER STP","FOOTHILL BOULEVARD","ROGUE RIVER","97537","JACKSON","WR",42.4313,-123.1863,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Rogue River","Doug","Arantt","PO Box 1137","Rogue River","OR","97537-1137","(541)582-1288","yes"
"159","< 1MGD",78405,"SALISHAN SANITARY DISTRICT","SALISHAN STP","ADJACENT TO HWY 101","GLENEDEN BEACH","97388","LINCOLN","WR",44.8936,-124.0251,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Salishan Sanitary District","Dan","Mathews","PO Box 219","Gleneden Beach","OR","97388-0219","541-764-2208","yes"
"160","< 1MGD",78615,"SANDY, CITY OF","SANDY WWTP","33400 SE JARL RD","BORING","97009","CLACKAMAS","NWR",45.4057,-122.3213,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact",NA,"Guy","Crawford","33400 SE Jarl Rd","Boring","OR","97009-9578","503-668-3251","yes"
"161","< 1MGD",78980,"SCAPPOOSE, CITY OF","SCAPPOOSE STP","34345 EAST COLUMBIA AVENUE","SCAPPOOSE","97056","COLUMBIA","NWR",45.7526,-122.8559,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Scappoose","Kevin","Turner","34485 E Columbia Ave","Scappoose","OR","97056-3430","503-543-7183","yes"
"162","< 1MGD",80535,"SHADY COVE, CITY OF","SHADY COVE STP","ROGUE RIVER DRIVE","SHADY COVE","97539","JACKSON","WR",42.6005,-122.8348,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Shady Cove","Carl","Tappert","PO Box 3130","Central Point","OR","97502-0005","(541) 727-6881","yes"
"163","< 1MGD",84405,"STANFIELD, CITY OF","STANFIELD STP","OLD HINKLE ROAD & SHERMAN","STANFIELD","97875","UMATILLA","ER",45.7809,-119.2232,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Stanfield","Scott A","Morris","PO Box 369","Stanfield","OR","97875-0369","(541) 449-3831","yes"
"164","< 1MGD",38625,"THREE RIVERS SCHOOL DISTRICT","HIDDEN VALLEY HIGH SCHOOL STP","651 MURPHY CREEK RD","MURPHY","97533","JOSEPHINE","WR",42.3286,-123.3355,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Three Rivers School Dist","Donald","Hiler","126 Ringuette St","Grants Pass","OR","97527-5824","541-476-6304","yes"
"165","< 1MGD",29920,"THREE RIVERS/JOSEPHINE COUNTY UNIT JOINT SCHOOL DISTRICT","FLEMING MIDDLE SCHOOL STP","6001 MONUMENT DRIVE","MERLIN","97532","JOSEPHINE","WR",42.5173,-123.3731,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Three Rivers/Josephine Co Joint Sch Dist","Donald","Hiler","126 Ringuette St","Grants Pass","OR","97527-5824","(541) 476-6304","yes"
"166","< 1MGD",89103,"TOLEDO, CITY OF","TOLEDO STP","1105 SE FIR STREET (ADJACENT TO GP MILL)","TOLEDO","97391","LINCOLN","WR",44.6129,-123.9311,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Toledo","Ricardo (Ric)","Saavedra","PO Box 220","Toledo","OR","97391-0220","(541)336-2610","yes"
"167","< 1MGD",90578,"TWIN ROCKS SANITARY DISTRICT","TWIN ROCKS WWTP","18005 Hwy 101","Rockaway Beach","97136","TILLAMOOK","NWR",45.5885,-123.9457,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Twin Rocks Sanitary District","Joe","Nemeyer","PO Box 69","Rockaway Bch","OR","97136-0069","503-355-2666","yes"
"168","< 1MGD",90659,"UMATILLA, CITY OF","UMATILLA STP","1205 Third St.","UMATILLA","97882-6174","UMATILLA","ER",45.9166,-119.3473,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Umatilla","Chris","Stensrud","PO Box 130","Umatilla","OR","97882-0130","541-922-3226","yes"
"169","< 1MGD",90800,"UNION, CITY OF","UNION STP",".4 MILE W OF TENTH STREET","UNION","97883","UNION","ER",45.2,-117.85,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Union","Ralph","Riomondo","PO Box 529","Union","OR","97883-0529","541-562-5623","yes"
"170","< 1MGD",90980,"US ARMY CORPS OF ENGINEERS, BONNEVILLE LOCK AND DAM","BONNEVILLE;USACOE-TANNER CREEK WASTEWATER TREATMENT PLANT","TANNER CREEK FACILITY","CASCADE LOCKS","97014","MULTNOMAH","NWR",45.6317,-121.961,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","USACE - Tanner Creek","Joe","Davis","Bonneville Lock & Dam","Cascade Locks","OR","97014","307-250-0768","yes"
"171","< 1MGD",109329,"USDA/US FOREST SERVICE - COLUMBIA RIVER GORGE NAT'L SCENIC AREA","MULTNOMAH FALLS LODGE STP","ON I-84 AT EXIT 31","MULTNOMAH FALLS","97019","MULTNOMAH","NWR",45.5788,-122.1158,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact",NA,"Dennis","Ervin","5226 Mill Creek Rd","The Dalles","OR","97058-8501","541-993-2374","yes"
"172","< 1MGD",107816,"WALDPORT, CITY OF","WALDPORT WWTP","555 LINT SLOUGH RD","WALDPORT","97394","LINCOLN","WR",44.427,-124.0573,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Waldport","Scott","Andry","PO Box 1120","Waldport","OR","97394-1120","541-563-2111","yes"
"173","< 1MGD",39750,"Water Environmental Services","WES (Hoodland STP)","24596 E BRIGHT AVE.","WELCHES","97067","CLACKAMAS","NWR",45.3464,-121.9693,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact",NA,"Greg","Eyerly","15941 S Agnes Ave","Oregon City","OR","97045","503-742-4567","yes"
"174","< 1MGD",94805,"WESTFIR, CITY OF","WESTFIR STP","46700 Westoak Rd","WESTFIR","97492","LANE","WR",43.759,-122.521,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Westfir Wastewater Treatment Plant","Jackson","Stone","PO Box 296","Westfir","OR","97492-0296","(541) 554-8660","yes"
"175","< 1MGD",94225,"WESTPORT SEWER SERVICE DISTRICT","WESTPORT SEWER SERVICE DISTRICT STP","91291 Westport Boat Ramp Road","Westport","97013","CLATSOP","NWR",46.1316,-123.3756,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Westport Sewer Service District","Sinclair","Frank","1100 Olney Ave","Astoria","OR","97103-5533","971.212.5782","yes"
"176","< 1MGD",98090,"WINCHESTER BAY SANITARY DISTRICT","WINCHESTER BAY STP","S BANK OF UMPQUA R ESTUARY ON BEACH RD","WINCHESTER BAY","97467","DOUGLAS","WR",43.6734,-124.1889,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Winchester Bay Sanitary District","Raymond","Davenport","PO Box 1256","Winchester Bay","OR","97467-0812","(541) 271-4214","yes"
"177","< 1MGD",99260,"YACHATS, CITY OF","YACHATS STP","W. 7TH ST. 3 BLOCKS W. OF HWY 101","YACHATS","97498","LINCOLN","WR",44.3178,-124.1076,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact",NA,"David A","Buckwald","PO Box 345","Yachats","OR","97498-0345","541-547-3385","yes"
"178","< 1MGD",99314,"YAMHILL, CITY OF","YAMHILL STP","450 S MAPLE ST","YAMHILL","97148-8638","YAMHILL","WR",45.3396,-123.1861,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Yamhill","Richard","Howard","PO Box 9","Yamhill","OR","97148-0009","503-662-4344","yes"
"179","< 1MGD",33743,"GLIDE-IDLEYLD SANITARY DISTRICT","GLIDE-IDLEYLD SANITARY DISTRICT","17766 NORTH BANK ROAD","ROSEBURG","97470","DOUGLAS","WR",43.3086,-123.1192,7999,"AMUSEMENT & RECREATION SERVICE","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Glide-Idleyld Sanitary District","Ken H","Godard","17766 N Bank Rd","Roseburg","OR","97470-9418","(541) 459-4449 x 235","no"
"180","< 1MGD",58827,"MEADOWS UTILITIES LLC","MT. HOOD MEADOWS SKI RESORT","14040 HIGHWAY 35","MT. HOOD","97041","HOOD RIVER","ER",45.3306,-121.6667,7999,"AMUSEMENT & RECREATION SERVICE","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Meadows Utilities LLC","Patricio","Ramos","PO Box 470","Mount Hood Parkdale","OR","97041-0470","503-337-2222 x1292/1358","no"
"181","<1 MGD with lagoons",48854,"LANE COMMUNITY COLLEGE","LANE COMMUNITY COLLEGE","4000 E 30TH AVE","EUGENE","97405","LANE","WR",44.0091,-123.0325,8221,"COLLEGES & UNIVERSITIES","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Delta Environmental Services","Dan","Conklin","105 E Hilliard Ln","Eugene","OR","97404-3222","(541) 463-5567","no"
"182","< 1MGD",88436,"SUNDOWN SANITARY SEWER DISTRICT","SUNDOWN SANITARY SEWER DISTRICT","OLD SITE OF ASTORIA NAVAL STATION","ASTORIA","971HH","CLATSOP","NWR",46.1432,-123.8091,6514,"DWELLING OPER EXCEPT APARTMENT","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Sundown Sanitary Sewer District","Kyle","Sharpsteen","36245 Bartoldus Loop","Astoria","OR","97103-8558","360-701-6384","no"
"183","<1 MGD with lagoons",34040,"WILLAMETTE LEADERSHIP ACADEMY","WILLAMETTE LEADERSHIP ACADEMY","34020 B STREET","GOSHEN","97448","LANE","WR",43.9948,-123.0099,8211,"ELEMENTARY & SECONDARY SCHOOLS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Willamette Leadership Academy","Roberta","Howard","34020 B St","Eugene","OR","97405-9622","541-246-2840","no"
"184","< 1MGD",66310,"PORT ORFORD-LANGLOIS SCHOOL DISTRICT 2CJ","PACIFIC HIGH SCHOOL STP","HWY 101 6 MI N OF CITY","PORT ORFORD","97465","CURRY","WR",42.75,-124.49,8211,"ELEMENTARY & SECONDARY SCHOOLS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Port Orford-Langlois School Dist #2J","Chad","Berry","PO Box 8","Port Orford","OR","97465-0008","541-348-2176","no"
"185","<1 MGD with lagoons",73705,"RAY, HELEN; RICE HILL INVESTMENTS CORP.; SWEET HOME HOSPITALITY, LLC; EK ONKAR CORP.","RICE HILL EAST LAGOON","I-5 EXIT 148","RICE HILL","97462","DOUGLAS","WR",43.5392,-123.2879,7011,"HOTELS, MOTELS AND LODGES","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact",NA,"Cory","Benzel","531 John Long Rd","Oakland","OR","97462-9640","(541) 733-8573","no"
"186","< 1MGD",69500,"BW PIER POINT INN, LLC","BEST WESTERN PIER POINT INN","85625 HWY 101 SOUTH","FLORENCE","97439","LANE","WR",43.9042,-124.1167,7011,"HOTELS, MOTELS AND LODGES","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Best Western Pier Point Inn","Steven","Shrewsbury","PO Box 2097","Florence","OR","97439-0137","(541) 997-7191","no"
"187","< 1MGD",60335,"NESKOWIN REGIONAL SANITARY AUTHORITY","NESKOWIN REGIONAL SANITARY AUTHORITY STP","48990 HWY 101 S","NESKOWIN","97149","TILLAMOOK","NWR",45.0978,-123.9776,7011,"HOTELS, MOTELS AND LODGES","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Neskowin Regional Sanitation Authority","Derrick","Shippee","PO Box 383","Neskowin","OR","97149-0383","503-392-3257","no"
"188","< 1MGD",90948,"US FOREST SERVICE","TIMBERLAKE STP","59868 E HWY 224","ESTACADA","97023","CLACKAMAS","NWR",45.0902,-122.0628,8331,"JOB TRAINING & RELATED SERVICE","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Timber Lake Civilian Conservation Corps","Brian","Hickman","59868 E Highway 224","Estacada","OR","97023-9306","503-834-3439","no"
"189","< 1MGD",90964,"USDA; FOREST SERVICE","USFS - UMPQUA NATIONAL FOREST; WOLF CREEK CIVILIAN CONSERVATION CENTER","2010 Opportunity Lane","GLIDE","97443","DOUGLAS","WR",43.239,-122.9249,8331,"JOB TRAINING & RELATED SERVICE","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","USFS - Umpqua National Forest","Jonathan","Woody","2900 NW Stewart Pkwy","Roseburg","OR","97471-1252","541-643-6137","no"
"190","< 1MGD",90944,"USDA; FOREST SERVICE","USFS - UMPQUA NATIONAL FOREST; TILLER RANGER STATION STP","DOUGLAS CO. RD 1 NEAR S. UMPQUA RD.","TILLER","97484","DOUGLAS","WR",42.9278,-122.9492,9512,"LAND & WILDLIFE CONSERVATION","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","USFS - Umpqua National Forest","Jonathan","Woody","2900 NW Stewart Pkwy","Roseburg","OR","97471-1252","541-643-6137","no"
"191","<1 MGD with lagoons",46990,"CORVALLIS MHC LLC","KNOLL TERRACE MHC","5055 NE ELLIOTT CIRCLE","CORVALLIS","97333","BENTON","WR",44.6182,-123.2389,6515,"MOBILE HOME SITE OPERATORS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Corvallis MHC LLC","Don","Banker","5055 NE Elliott Cir","Corvallis","OR","97330-9008","(541) 752-2225","no"
"192","< 1MGD",75500,"BEVERLEY HILTERBRAND, K & D CANTRELL","RIVIERA MOBILE PARK","5076 LEONARD RD","GRANTS PASS","97527","JOSEPHINE","WR",42.4292,-123.4264,6515,"MOBILE HOME SITE OPERATORS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Riviera Mobile Park","Michael","Bollweg","1284 Moon Glo Dr","Grants Pass","OR","97527-4225","(541) 592-2156","no"
"193","< 1MGD",97612,"REGENCY OF OREGON, INC.","CANBY REGENCY MOBILE HOME PARK","10038 S NEW ERA RD","CANBY","97013","CLACKAMAS","NWR",45.2924,-122.6519,6515,"MOBILE HOME SITE OPERATORS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Regency of Oregon, Inc.","Dena","Murray","10038 S New Era Rd","Canby","OR","97013-2573","503-621-3070","no"
"194","<1 MGD with lagoons",36646,"DIAMOND HILL L.L.C.","SHERMAN BROS. TRUCKING","32917 DIAMOND HILL DR","HARRISBURG","97446","LINN","WR",44.28,-123.0633,7033,"RV TRAILER PARKS AND CAMPSITES","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Diamond Hill LLC","Secret","Spencer","PO Box 706","Harrisburg","OR","97446-0706","(541) 995-7751 ext. 2209","no"
